id,job_title,experience_level,job_type,location,salary,salary_currency
0,Data Engineer,Mid,Full-time,India,90612,USD
1,Analytics Engineer,Executive,Full-time,India,63574,USD
2,ML Engineer,Mid,Full-time,UK,63524,GBP
3,Analytics Engineer,Senior,Full-time,UK,50916,USD
4,Analytics Engineer,Entry,Full-time,UK,44809,USD
5,Data Analyst,Mid,Full-time,India,184528,USD
6,ML Engineer,Mid,Full-time,Canada,161288,USD
7,ML Engineer,Entry,Full-time,India,78765,GBP
8,ML Engineer,Mid,Full-time,Canada,85106,USD
9,Analytics Engineer,Mid,Part-time,Canada,93932,USD
10,Data Engineer,Senior,Full-time,UK,188172,USD
11,ML Engineer,Mid,Full-time,Germany,97091,USD
12,Analytics Engineer,Entry,Full-time,USA,61949,USD
13,Data Analyst,Entry,Full-time,UK,77744,USD
14,Data Engineer,Entry,Full-time,UK,148319,USD
15,Data Analyst,Mid,Full-time,Germany,132193,EUR
16,Data Engineer,Mid,Contract,USA,76187,USD
17,Analytics Engineer,Entry,Part-time,India,178311,USD
18,Data Scientist,Mid,Part-time,India,164454,USD
19,Data Engineer,Entry,Full-time,UK,54489,USD
20,Data Analyst,Senior,Full-time,USA,101877,USD
21,Analytics Engineer,Senior,Full-time,UK,89922,USD
22,Data Engineer,Entry,Full-time,Canada,134074,USD
23,Data Scientist,Executive,Full-time,UK,77131,USD
24,Data Scientist,Mid,Part-time,UK,155765,USD
25,ML Engineer,Executive,Full-time,India,113963,EUR
26,ML Engineer,Mid,Contract,India,146884,USD
27,Data Analyst,Entry,Full-time,India,165917,USD
28,Data Engineer,Mid,Part-time,Canada,64285,USD
29,Data Engineer,Senior,Full-time,India,77626,EUR
30,ML Engineer,Senior,Full-time,USA,59198,USD
31,Data Engineer,Mid,Full-time,Germany,190830,USD
32,Data Engineer,Mid,Full-time,USA,55254,EUR
33,Data Scientist,Mid,Full-time,USA,84238,EUR
34,ML Engineer,Mid,Contract,India,41252,GBP
